Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,18.080000,18.080000,18.080000,18.080000,18.080000,0
2005-01-04,17.910000,17.910000,17.910000,17.910000,17.910000,0
2005-01-05,17.860001,17.860001,17.860001,17.860001,17.860001,0
2005-01-06,17.889999,17.889999,17.889999,17.889999,17.889999,0
2005-01-07,17.879999,17.879999,17.879999,17.879999,17.879999,0
2005-01-10,17.930000,17.930000,17.930000,17.930000,17.930000,0
2005-01-11,17.870001,17.870001,17.870001,17.870001,17.870001,0
2005-01-12,17.920000,17.920000,17.920000,17.920000,17.920000,0
2005-01-13,17.860001,17.860001,17.860001,17.860001,17.860001,0
2005-01-14,17.920000,17.920000,17.920000,17.920000,17.920000,0
2005-01-18,18.020000,18.020000,18.020000,18.020000,18.020000,0
2005-01-19,17.910000,17.910000,17.910000,17.910000,17.910000,0
2005-01-20,17.790001,17.790001,17.790001,17.790001,17.790001,0
2005-01-21,17.760000,17.760000,17.760000,17.760000,17.760000,0
2005-01-24,17.709999,17.709999,17.709999,17.709999,17.709999,0
2005-01-25,17.750000,17.750000,17.750000,17.750000,17.750000,0
2005-01-26,17.830000,17.830000,17.830000,17.830000,17.830000,0
2005-01-27,17.830000,17.830000,17.830000,17.830000,17.830000,0
2005-01-28,17.809999,17.809999,17.809999,17.809999,17.809999,0
2005-01-31,17.930000,17.930000,17.930000,17.930000,17.930000,0
2005-02-01,17.990000,17.990000,17.990000,17.990000,17.990000,0
2005-02-02,18.030001,18.030001,18.030001,18.030001,18.030001,0
2005-02-03,17.990000,17.990000,17.990000,17.990000,17.990000,0
2005-02-04,18.139999,18.139999,18.139999,18.139999,18.139999,0
2005-02-07,18.110001,18.110001,18.110001,18.110001,18.110001,0
2005-02-08,18.129999,18.129999,18.129999,18.129999,18.129999,0
2005-02-09,18.020000,18.020000,18.020000,18.020000,18.020000,0
2005-02-10,18.080000,18.080000,18.080000,18.080000,18.080000,0
2005-02-11,18.190001,18.190001,18.190001,18.190001,18.190001,0
2005-02-14,18.209999,18.209999,18.209999,18.209999,18.209999,0
2005-02-15,18.230000,18.230000,18.230000,18.230000,18.230000,0
2005-02-16,18.230000,18.230000,18.230000,18.230000,18.230000,0
2005-02-17,18.160000,18.160000,18.160000,18.160000,18.160000,0
2005-02-18,18.160000,18.160000,18.160000,18.160000,18.160000,0
2005-02-22,18.010000,18.010000,18.010000,18.010000,18.010000,0
2005-02-23,18.059999,18.059999,18.059999,18.059999,18.059999,0
2005-02-24,18.150000,18.150000,18.150000,18.150000,18.150000,0
2005-02-25,18.270000,18.270000,18.270000,18.270000,18.270000,0
2005-02-28,18.190001,18.190001,18.190001,18.190001,18.190001,0
2005-03-01,18.240000,18.240000,18.240000,18.240000,18.240000,0
2005-03-02,18.230000,18.230000,18.230000,18.230000,18.230000,0
2005-03-03,18.240000,18.240000,18.240000,18.240000,18.240000,0
2005-03-04,18.400000,18.400000,18.400000,18.400000,18.400000,0
2005-03-07,18.400000,18.400000,18.400000,18.400000,18.400000,0
2005-03-08,18.350000,18.350000,18.350000,18.350000,18.350000,0
2005-03-09,18.219999,18.219999,18.219999,18.219999,18.219999,0
2005-03-10,18.230000,18.230000,18.230000,18.230000,18.230000,0
2005-03-11,18.180000,18.180000,18.180000,18.180000,18.180000,0
2005-03-14,18.209999,18.209999,18.209999,18.209999,18.209999,0
2005-03-15,18.139999,18.139999,18.139999,18.139999,18.139999,0
2005-03-16,18.059999,18.059999,18.059999,18.059999,18.059999,0
2005-03-17,18.090000,18.090000,18.090000,18.090000,18.090000,0
2005-03-18,18.070000,18.070000,18.070000,18.070000,18.070000,0
2005-03-21,18.000000,18.000000,18.000000,18.000000,18.000000,0
2005-03-22,17.900000,17.900000,17.900000,17.900000,17.900000,0
2005-03-23,17.820000,17.820000,17.820000,17.820000,17.820000,0
2005-03-24,17.820000,17.820000,17.820000,17.820000,17.820000,0
2005-03-28,17.820000,17.820000,17.820000,17.820000,17.820000,0
2005-03-29,17.650000,17.650000,17.650000,17.650000,17.650000,0
2005-03-30,17.799999,17.799999,17.799999,17.799999,17.799999,0
2005-03-31,17.820000,17.820000,17.820000,17.820000,17.820000,0
2005-04-01,17.750000,17.750000,17.750000,17.750000,17.750000,0
2005-04-04,17.750000,17.750000,17.750000,17.750000,17.750000,0
2005-04-05,17.809999,17.809999,17.809999,17.809999,17.809999,0
2005-04-06,17.850000,17.850000,17.850000,17.850000,17.850000,0
2005-04-07,17.940001,17.940001,17.940001,17.940001,17.940001,0
2005-04-08,17.840000,17.840000,17.840000,17.840000,17.840000,0
2005-04-11,17.850000,17.850000,17.850000,17.850000,17.850000,0
2005-04-12,17.900000,17.900000,17.900000,17.900000,17.900000,0
2005-04-13,17.760000,17.760000,17.760000,17.760000,17.760000,0
2005-04-14,17.620001,17.620001,17.620001,17.620001,17.620001,0
2005-04-15,17.450001,17.450001,17.450001,17.450001,17.450001,0
2005-04-18,17.469999,17.469999,17.469999,17.469999,17.469999,0
2005-04-19,17.590000,17.590000,17.590000,17.590000,17.590000,0
2005-04-20,17.459999,17.459999,17.459999,17.459999,17.459999,0
2005-04-21,17.660000,17.660000,17.660000,17.660000,17.660000,0
2005-04-22,17.600000,17.600000,17.600000,17.600000,17.600000,0
2005-04-25,17.690001,17.690001,17.690001,17.690001,17.690001,0
2005-04-26,17.570000,17.570000,17.570000,17.570000,17.570000,0
2005-04-27,17.580000,17.580000,17.580000,17.580000,17.580000,0
2005-04-28,17.480000,17.480000,17.480000,17.480000,17.480000,0
2005-04-29,17.600000,17.600000,17.600000,17.600000,17.600000,0
2005-05-02,17.639999,17.639999,17.639999,17.639999,17.639999,0
2005-05-03,17.629999,17.629999,17.629999,17.629999,17.629999,0
2005-05-04,17.790001,17.790001,17.790001,17.790001,17.790001,0
2005-05-05,17.790001,17.790001,17.790001,17.790001,17.790001,0
2005-05-06,17.780001,17.780001,17.780001,17.780001,17.780001,0
2005-05-09,17.850000,17.850000,17.850000,17.850000,17.850000,0
2005-05-10,17.730000,17.730000,17.730000,17.730000,17.730000,0
2005-05-11,17.780001,17.780001,17.780001,17.780001,17.780001,0
2005-05-12,17.660000,17.660000,17.660000,17.660000,17.660000,0
2005-05-13,17.610001,17.610001,17.610001,17.610001,17.610001,0
2005-05-16,17.700001,17.700001,17.700001,17.700001,17.700001,0
2005-05-17,17.770000,17.770000,17.770000,17.770000,17.770000,0
2005-05-18,17.910000,17.910000,17.910000,17.910000,17.910000,0
2005-05-19,17.959999,17.959999,17.959999,17.959999,17.959999,0
2005-05-20,17.940001,17.940001,17.940001,17.940001,17.940001,0
2005-05-23,18.010000,18.010000,18.010000,18.010000,18.010000,0
2005-05-24,18.020000,18.020000,18.020000,18.020000,18.020000,0
2005-05-25,17.969999,17.969999,17.969999,17.969999,17.969999,0
2005-05-26,18.049999,18.049999,18.049999,18.049999,18.049999,0
2005-05-27,18.080000,18.080000,18.080000,18.080000,18.080000,0
2005-05-31,18.040001,18.040001,18.040001,18.040001,18.040001,0
2005-06-01,18.160000,18.160000,18.160000,18.160000,18.160000,0
2005-06-02,18.200001,18.200001,18.200001,18.200001,18.200001,0
2005-06-03,18.129999,18.129999,18.129999,18.129999,18.129999,0
2005-06-06,18.160000,18.160000,18.160000,18.160000,18.160000,0
2005-06-07,18.180000,18.180000,18.180000,18.180000,18.180000,0
2005-06-08,18.150000,18.150000,18.150000,18.150000,18.150000,0
2005-06-09,18.209999,18.209999,18.209999,18.209999,18.209999,0
2005-06-10,18.160000,18.160000,18.160000,18.160000,18.160000,0
2005-06-13,18.170000,18.170000,18.170000,18.170000,18.170000,0
2005-06-14,18.200001,18.200001,18.200001,18.200001,18.200001,0
2005-06-15,18.230000,18.230000,18.230000,18.230000,18.230000,0
2005-06-16,18.299999,18.299999,18.299999,18.299999,18.299999,0
2005-06-17,18.370001,18.370001,18.370001,18.370001,18.370001,0
2005-06-20,18.340000,18.340000,18.340000,18.340000,18.340000,0
2005-06-21,18.330000,18.330000,18.330000,18.330000,18.330000,0
2005-06-22,18.360001,18.360001,18.360001,18.360001,18.360001,0
2005-06-23,18.230000,18.230000,18.230000,18.230000,18.230000,0
2005-06-24,18.170000,18.170000,18.170000,18.170000,18.170000,0
2005-06-27,18.170000,18.170000,18.170000,18.170000,18.170000,0
2005-06-28,18.180000,18.180000,18.180000,18.180000,18.180000,0
2005-06-29,18.170000,18.170000,18.170000,18.170000,18.170000,0
2005-06-30,18.100000,18.100000,18.100000,18.100000,18.100000,0
2005-07-01,18.120001,18.120001,18.120001,18.120001,18.120001,0
2005-07-05,18.209999,18.209999,18.209999,18.209999,18.209999,0
2005-07-06,18.139999,18.139999,18.139999,18.139999,18.139999,0
2005-07-07,18.160000,18.160000,18.160000,18.160000,18.160000,0
2005-07-08,18.320000,18.320000,18.320000,18.320000,18.320000,0
2005-07-11,18.410000,18.410000,18.410000,18.410000,18.410000,0
2005-07-12,18.440001,18.440001,18.440001,18.440001,18.440001,0
2005-07-13,18.430000,18.430000,18.430000,18.430000,18.430000,0
2005-07-14,18.459999,18.459999,18.459999,18.459999,18.459999,0
2005-07-15,18.459999,18.459999,18.459999,18.459999,18.459999,0
2005-07-18,18.420000,18.420000,18.420000,18.420000,18.420000,0
2005-07-19,18.510000,18.510000,18.510000,18.510000,18.510000,0
2005-07-20,18.570000,18.570000,18.570000,18.570000,18.570000,0
2005-07-21,18.500000,18.500000,18.500000,18.500000,18.500000,0
2005-07-22,18.559999,18.559999,18.559999,18.559999,18.559999,0
2005-07-25,18.510000,18.510000,18.510000,18.510000,18.510000,0
2005-07-26,18.530001,18.530001,18.530001,18.530001,18.530001,0
2005-07-27,18.610001,18.610001,18.610001,18.610001,18.610001,0
2005-07-28,18.719999,18.719999,18.719999,18.719999,18.719999,0
2005-07-29,18.629999,18.629999,18.629999,18.629999,18.629999,0
2005-08-01,18.670000,18.670000,18.670000,18.670000,18.670000,0
2005-08-02,18.770000,18.770000,18.770000,18.770000,18.770000,0
2005-08-03,18.790001,18.790001,18.790001,18.790001,18.790001,0
2005-08-04,18.690001,18.690001,18.690001,18.690001,18.690001,0
2005-08-05,18.570000,18.570000,18.570000,18.570000,18.570000,0
2005-08-08,18.540001,18.540001,18.540001,18.540001,18.540001,0
2005-08-09,18.639999,18.639999,18.639999,18.639999,18.639999,0
2005-08-10,18.660000,18.660000,18.660000,18.660000,18.660000,0
2005-08-11,18.760000,18.760000,18.760000,18.760000,18.760000,0
2005-08-12,18.700001,18.700001,18.700001,18.700001,18.700001,0
2005-08-15,18.719999,18.719999,18.719999,18.719999,18.719999,0
2005-08-16,18.570000,18.570000,18.570000,18.570000,18.570000,0
2005-08-17,18.580000,18.580000,18.580000,18.580000,18.580000,0
2005-08-18,18.540001,18.540001,18.540001,18.540001,18.540001,0
2005-08-19,18.559999,18.559999,18.559999,18.559999,18.559999,0
2005-08-22,18.600000,18.600000,18.600000,18.600000,18.600000,0
2005-08-23,18.559999,18.559999,18.559999,18.559999,18.559999,0
2005-08-24,18.490000,18.490000,18.490000,18.490000,18.490000,0
2005-08-25,18.520000,18.520000,18.520000,18.520000,18.520000,0
2005-08-26,18.450001,18.450001,18.450001,18.450001,18.450001,0
2005-08-29,18.510000,18.510000,18.510000,18.510000,18.510000,0
2005-08-30,18.480000,18.480000,18.480000,18.480000,18.480000,0
2005-08-31,18.639999,18.639999,18.639999,18.639999,18.639999,0
2005-09-01,18.690001,18.690001,18.690001,18.690001,18.690001,0
2005-09-02,18.670000,18.670000,18.670000,18.670000,18.670000,0
