Date,Close,Low,High
2/1/2017,39.10,38.11,39.58
1/1/2017,38.17,37.65,38.61
12/1/2016,37.38,36.45,38.09
11/1/2016,36.70,33.11,37.17
10/1/2016,34.00,33.86,35.23
9/1/2016,35.36,34.30,35.64
8/1/2016,35.05,34.28,35.26
7/1/2016,34.78,32.70,34.78
6/1/2016,33.00,31.21,33.88
5/1/2016,33.05,31.60,33.05
4/1/2016,32.46,31.46,33.01
3/1/2016,31.91,30.12,31.91
2/1/2016,29.49,27.05,29.59
