Date,Close,Low,High
2/1/2017,$9.60 ,$9.46 ,$9.71 
1/1/2017,$9.45 ,$9.12 ,$9.51 
12/1/2016,$9.12 ,$8.89 ,$9.23 
11/1/2016,$8.90 ,$8.78 ,$9.10 
10/1/2016,$9.11 ,$9.03 ,$9.26 
9/1/2016,$9.24 ,$9.02 ,$9.41 
8/1/2016,$9.13 ,$8.92 ,$9.28 
7/1/2016,$9.07 ,$8.51 ,$9.07 
6/1/2016,$8.64 ,$8.19 ,$9.02 
5/1/2016,$8.77 ,$8.51 ,$8.88 
4/1/2016,$8.85 ,$8.39 ,$9.02 
3/1/2016,$8.68 ,$8.20 ,$8.71 
2/1/2016,$8.02 ,$7.62 ,$8.16 
