"Index","Date","Open","High","Low","Close","Volume","Adjusted"
1,2010-01-04,41.790001,41.790001,41.790001,41.790001,0,27.533754
2,2010-01-05,42.080002,42.080002,42.080002,42.080002,0,27.724824
3,2010-01-06,41.860001,41.860001,41.860001,41.860001,0,27.579874
4,2010-01-07,41.700001,41.700001,41.700001,41.700001,0,27.474456
5,2010-01-08,41.889999,41.889999,41.889999,41.889999,0,27.599639
6,2010-01-11,41.91,41.91,41.91,41.91,0,27.612816
7,2010-01-12,41.200001,41.200001,41.200001,41.200001,0,27.145026
8,2010-01-13,41.75,41.75,41.75,41.75,0,27.507399
9,2010-01-14,41.720001,41.720001,41.720001,41.720001,0,27.487634
10,2010-01-15,41.439999,41.439999,41.439999,41.439999,0,27.303151
11,2010-01-19,41.68,41.68,41.68,41.68,0,27.461279
12,2010-01-20,41.200001,41.200001,41.200001,41.200001,0,27.145026
13,2010-01-21,40.650002,40.650002,40.650002,40.650002,0,26.782654
14,2010-01-22,39.57,39.57,39.57,39.57,0,26.071084
15,2010-01-25,39.82,39.82,39.82,39.82,0,26.235799
16,2010-01-26,39.540001,39.540001,39.540001,39.540001,0,26.051319
17,2010-01-27,39.610001,39.610001,39.610001,39.610001,0,26.097439
18,2010-01-28,39.139999,39.139999,39.139999,39.139999,0,25.787774
19,2010-01-29,38.77,38.77,38.77,38.77,0,25.543997
20,2010-02-01,39.32,39.32,39.32,39.32,0,25.906369
21,2010-02-02,39.669998,39.669998,39.669998,39.669998,0,26.136969
22,2010-02-03,39.630001,39.630001,39.630001,39.630001,0,26.110617
23,2010-02-04,38.419998,38.419998,38.419998,38.419998,0,25.313394
24,2010-02-05,38.279999,38.279999,38.279999,38.279999,0,25.221154
25,2010-02-08,38.07,38.07,38.07,38.07,0,25.082794
26,2010-02-09,38.59,38.59,38.59,38.59,0,25.425402
27,2010-02-10,38.560001,38.560001,38.560001,38.560001,0,25.405637
28,2010-02-11,39.110001,39.110001,39.110001,39.110001,0,25.768009
29,2010-02-12,39.279999,39.279999,39.279999,39.279999,0,25.880014
30,2010-02-16,39.82,39.82,39.82,39.82,0,26.235799
31,2010-02-17,40.130001,40.130001,40.130001,40.130001,0,26.440046
32,2010-02-18,40.330002,40.330002,40.330002,40.330002,0,26.571819
33,2010-02-19,40.34,40.34,40.34,40.34,0,26.578406
34,2010-02-22,40.290001,40.290001,40.290001,40.290001,0,26.545464
35,2010-02-23,39.810001,39.810001,39.810001,39.810001,0,26.229211
36,2010-02-24,40.009998,40.009998,40.009998,40.009998,0,26.360981
37,2010-02-25,40.009998,40.009998,40.009998,40.009998,0,26.360981
38,2010-02-26,40.169998,40.169998,40.169998,40.169998,0,26.466399
39,2010-03-01,40.720001,40.720001,40.720001,40.720001,0,26.828774
40,2010-03-02,40.93,40.93,40.93,40.93,0,26.967134
41,2010-03-03,41.049999,41.049999,41.049999,41.049999,0,27.046196
42,2010-03-04,41.25,41.25,41.25,41.25,0,27.177969
43,2010-03-05,41.919998,41.919998,41.919998,41.919998,0,27.619404
44,2010-03-08,41.84,41.84,41.84,41.84,0,27.566696
45,2010-03-09,42.02,42.02,42.02,42.02,0,27.685291
46,2010-03-10,42.41,42.41,42.41,42.41,0,27.942246
47,2010-03-11,42.599998,42.599998,42.599998,42.599998,0,28.067429
48,2010-03-12,42.639999,42.639999,42.639999,42.639999,0,28.093784
49,2010-03-15,42.48,42.48,42.48,42.48,0,27.988366
50,2010-03-16,42.75,42.75,42.75,42.75,0,28.166259
51,2010-03-17,42.939999,42.939999,42.939999,42.939999,0,28.291441
52,2010-03-18,42.799999,42.799999,42.799999,42.799999,0,28.199201
53,2010-03-19,42.509998,42.509998,42.509998,42.509998,0,28.008131
54,2010-03-22,42.84,42.84,42.84,42.84,0,28.225556
55,2010-03-23,43.07,43.07,43.07,43.07,0,28.377093
56,2010-03-24,43,43,43,43,0,28.330974
57,2010-03-25,42.869999,42.869999,42.869999,42.869999,0,28.245321
58,2010-03-26,42.919998,42.919998,42.919998,42.919998,0,28.278264
59,2010-03-29,43.310001,43.310001,43.310001,43.310001,0,28.535221
60,2010-03-30,43.529999,43.529999,43.529999,43.529999,0,28.680168
61,2010-03-31,43.43,43.43,43.43,43.43,0,28.614283
62,2010-04-01,43.689999,43.689999,43.689999,43.689999,0,28.785586
63,2010-04-05,44.209999,44.209999,44.209999,44.209999,0,29.128193
64,2010-04-06,44.240002,44.240002,44.240002,44.240002,0,29.147961
65,2010-04-07,43.900002,43.900002,43.900002,43.900002,0,28.923948
66,2010-04-08,44.209999,44.209999,44.209999,44.209999,0,29.128193
67,2010-04-09,44.560001,44.560001,44.560001,44.560001,0,29.358796
68,2010-04-12,44.689999,44.689999,44.689999,44.689999,0,29.444446
69,2010-04-13,44.700001,44.700001,44.700001,44.700001,0,29.451036
70,2010-04-14,45.200001,45.200001,45.200001,45.200001,0,29.780466
71,2010-04-15,45.290001,45.290001,45.290001,45.290001,0,29.839763
72,2010-04-16,44.57,44.57,44.57,44.57,0,29.365383
73,2010-04-19,44.439999,44.439999,44.439999,44.439999,0,29.279731
74,2010-04-20,45,45,45,45,0,29.648693
75,2010-04-21,45.02,45.02,45.02,45.02,0,29.661871
76,2010-04-22,45.23,45.23,45.23,45.23,0,29.800231
77,2010-04-23,45.349998,45.349998,45.349998,45.349998,0,29.879293
78,2010-04-26,45.419998,45.419998,45.419998,45.419998,0,29.925413
79,2010-04-27,44.27,44.27,44.27,44.27,0,29.167726
80,2010-04-28,44.32,44.32,44.32,44.32,0,29.200668
81,2010-04-29,45.43,45.43,45.43,45.43,0,29.932003
82,2010-04-30,44.869999,44.869999,44.869999,44.869999,0,29.563041
83,2010-05-03,45.470001,45.470001,45.470001,45.470001,0,29.958358
84,2010-05-04,44.189999,44.189999,44.189999,44.189999,0,29.115016
85,2010-05-05,43.57,43.57,43.57,43.57,0,28.706523
86,2010-05-06,41.93,41.93,41.93,41.93,0,27.625994
87,2010-05-07,40.889999,40.889999,40.889999,40.889999,0,26.940779
88,2010-05-10,42.709999,42.709999,42.709999,42.709999,0,28.139904
89,2010-05-11,42.66,42.66,42.66,42.66,0,28.106961
90,2010-05-12,43.450001,43.450001,43.450001,43.450001,0,28.627461
91,2010-05-13,43.25,43.25,43.25,43.25,0,28.495688
92,2010-05-14,42.52,42.52,42.52,42.52,0,28.014721
93,2010-05-17,42.59,42.59,42.59,42.59,0,28.060841
94,2010-05-18,42.029999,42.029999,42.029999,42.029999,0,27.691879
95,2010-05-19,41.540001,41.540001,41.540001,41.540001,0,27.369039
96,2010-05-20,39.779999,39.779999,39.779999,39.779999,0,26.209444
97,2010-05-21,40.490002,40.490002,40.490002,40.490002,0,26.677236
98,2010-05-24,40.32,40.32,40.32,40.32,0,26.565229
99,2010-05-25,40.549999,40.549999,40.549999,40.549999,0,26.716766
100,2010-05-26,40.799999,40.799999,40.799999,40.799999,0,26.881481
101,2010-05-27,42.330002,42.330002,42.330002,42.330002,0,27.889539
102,2010-05-28,41.82,41.82,41.82,41.82,0,27.553519
103,2010-06-01,41.099998,41.099998,41.099998,41.099998,0,27.079139
104,2010-06-02,42.169998,42.169998,42.169998,42.169998,0,27.784119
105,2010-06-03,42.650002,42.650002,42.650002,42.650002,0,28.100374
106,2010-06-04,41.150002,41.150002,41.150002,41.150002,0,27.112084
107,2010-06-07,40.400002,40.400002,40.400002,40.400002,0,26.617939
108,2010-06-08,40.240002,40.240002,40.240002,40.240002,0,26.512521
109,2010-06-09,40.099998,40.099998,40.099998,40.099998,0,26.420279
110,2010-06-10,41.439999,41.439999,41.439999,41.439999,0,27.303151
111,2010-06-11,41.82,41.82,41.82,41.82,0,27.553519
112,2010-06-14,41.860001,41.860001,41.860001,41.860001,0,27.579874
113,2010-06-15,42.93,42.93,42.93,42.93,0,28.284854
114,2010-06-16,42.869999,42.869999,42.869999,42.869999,0,28.245321
115,2010-06-17,42.939999,42.939999,42.939999,42.939999,0,28.291441
116,2010-06-18,42.790001,42.790001,42.790001,42.790001,0,28.192614
117,2010-06-21,42.689999,42.689999,42.689999,42.689999,0,28.126726
118,2010-06-22,42.080002,42.080002,42.080002,42.080002,0,27.724824
119,2010-06-23,42.169998,42.169998,42.169998,42.169998,0,27.784119
120,2010-06-24,41.48,41.48,41.48,41.48,0,27.329506
121,2010-06-25,41.720001,41.720001,41.720001,41.720001,0,27.487634
122,2010-06-28,41.799999,41.799999,41.799999,41.799999,0,27.540341
123,2010-06-29,40.16,40.16,40.16,40.16,0,26.459811
124,2010-06-30,39.75,39.75,39.75,39.75,0,26.189679
125,2010-07-01,39.720001,39.720001,39.720001,39.720001,0,26.169914
126,2010-07-02,39.43,39.43,39.43,39.43,0,25.978844
127,2010-07-06,39.630001,39.630001,39.630001,39.630001,0,26.110617
128,2010-07-07,40.939999,40.939999,40.939999,40.939999,0,26.973721
129,2010-07-08,41.25,41.25,41.25,41.25,0,27.177969
130,2010-07-09,41.549999,41.549999,41.549999,41.549999,0,27.375626
131,2010-07-12,41.509998,41.509998,41.509998,41.509998,0,27.349271
132,2010-07-13,42.450001,42.450001,42.450001,42.450001,0,27.968601
133,2010-07-14,42.439999,42.439999,42.439999,42.439999,0,27.962011
134,2010-07-15,42.419998,42.419998,42.419998,42.419998,0,27.948834
135,2010-07-16,41.110001,41.110001,41.110001,41.110001,0,27.085729
136,2010-07-19,41.490002,41.490002,41.490002,41.490002,0,27.336096
137,2010-07-20,42.040001,42.040001,42.040001,42.040001,0,27.698469
138,2010-07-21,41.57,41.57,41.57,41.57,0,27.388804
139,2010-07-22,42.700001,42.700001,42.700001,42.700001,0,28.133316
140,2010-07-23,43.400002,43.400002,43.400002,43.400002,0,28.594518
141,2010-07-26,43.77,43.77,43.77,43.77,0,28.838296
142,2010-07-27,43.459999,43.459999,43.459999,43.459999,0,28.634048
143,2010-07-28,43.209999,43.209999,43.209999,43.209999,0,28.469333
144,2010-07-29,43.040001,43.040001,43.040001,43.040001,0,28.357329
145,2010-07-30,43.349998,43.349998,43.349998,43.349998,0,28.561573
146,2010-08-02,44.220001,44.220001,44.220001,44.220001,0,29.134783
147,2010-08-03,43.939999,43.939999,43.939999,43.939999,0,28.950301
148,2010-08-04,44.310001,44.310001,44.310001,44.310001,0,29.194081
149,2010-08-05,44.389999,44.389999,44.389999,44.389999,0,29.246788
150,2010-08-06,44.049999,44.049999,44.049999,44.049999,0,29.022776
151,2010-08-09,44.450001,44.450001,44.450001,44.450001,0,29.286321
152,2010-08-10,44.18,44.18,44.18,44.18,0,29.108428
153,2010-08-11,42.799999,42.799999,42.799999,42.799999,0,28.199201
154,2010-08-12,42.619999,42.619999,42.619999,42.619999,0,28.080606
155,2010-08-13,42.41,42.41,42.41,42.41,0,27.942246
156,2010-08-16,42.540001,42.540001,42.540001,42.540001,0,28.027899
157,2010-08-17,43.080002,43.080002,43.080002,43.080002,0,28.383684
