Date,Close,Low,High
2/1/2017,$15.24 ,$14.82 ,$15.44 
1/1/2017,$15.37 ,$14.81 ,$15.68 
12/1/2016,$15.51 ,$14.09 ,$15.58 
11/1/2016,$14.10 ,$13.19 ,$14.43 
10/1/2016,$13.43 ,$13.30 ,$14.86 
9/1/2016,$14.80 ,$14.48 ,$15.11 
8/1/2016,$14.90 ,$14.83 ,$15.81 
7/1/2016,$15.77 ,$15.42 ,$15.84 
6/1/2016,$15.75 ,$14.12 ,$15.75 
5/1/2016,$14.28 ,$13.98 ,$14.42 
4/1/2016,$14.16 ,$13.82 ,$14.36 
3/1/2016,$14.29 ,$13.64 ,$14.39 
2/1/2016,$13.49 ,$13.16 ,$13.64 
