Date,Close,Low,High
2/1/2017,16.50 ,16.09 ,16.60
1/1/2017,16.06 ,15.79 ,16.21
12/1/2016,15.69 ,15.38 ,15.86
11/1/2016,15.42 ,14.85 ,15.47
10/1/2016,15.16 ,15.16 ,15.45
9/1/2016,15.46 ,15.13 ,15.58
8/1/2016,15.35 ,15.10 ,15.47
7/1/2016,15.24 ,14.51 ,15.24
6/1/2016,14.63 ,13.94 ,14.96
5/1/2016,14.74 ,14.30 ,14.74
4/1/2016,14.54 ,14.13 ,14.74
3/1/2016,14.33 ,13.69 ,14.35
2/1/2016,13.40 ,12.67 ,13.53
